,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0
2021-01-01,64942,62593,60905,59889,59638,59936,60193,59982,59626,57904,57604,56869,56191,56424,56691,58299,60425,62931,64176,63645,62754,61561,61979,63055
2021-01-02,60658,58603,57309,56663,56733,57327,58378,59285,60669,59515,58770,57296,55466,55066,55493,57865,61407,64223,65082,64257,62981,61686,61962,64227
2021-01-03,61992,59723,58310,57599,57518,58073,58877,59373,59434,56835,56485,55912,56037,57802,59465,61355,63202,65426,66473,65646,64815,63289,63706,64480
2021-01-04,62078,60011,58936,58715,59233,61081,64908,71659,80766,82796,82045,79963,76537,79560,81315,81431,82840,81666,78838,75717,72867,69726,68460,70327
2021-01-05,67267,64957,63471,63136,63564,65045,68221,73685,81609,83240,82328,80551,78105,80560,81612,82647,84497,83721,81513,78460,75423,72053,70992,72838
2021-01-06,69834,67769,66454,66041,66425,67820,71258,76764,84638,85568,83607,81501,77331,79354,80703,82427,84894,84026,81290,78158,75070,71874,71212,72629
2021-01-07,69795,67929,66807,66497,67012,68570,71865,76922,84978,88741,89725,88948,85660,87831,88578,88797,90195,88599,85683,82112,78776,75141,74173,75620
2021-01-08,73089,70960,69867,69143,69141,70433,73185,78406,86597,89506,89858,88961,85456,87080,87874,88400,89749,87972,84475,81100,78259,74864,73887,75395
2021-01-09,72514,70377,69062,68225,67887,68064,69160,70598,73312,73146,73740,72918,70451,70522,70652,71328,73094,74004,74232,72796,71222,69024,69331,71259
2021-01-10,69016,66797,65250,64317,64098,64459,64882,64993,65140,63661,63682,63093,62089,62194,62778,64543,66813,69439,70738,69913,68716,67209,67725,68749
2021-01-11,66415,64357,63260,62743,63238,64878,68630,75014,84899,89038,90564,90503,87340,89303,89758,89481,89824,87333,84111,80588,77300,73692,72582,74455
2021-01-12,71608,69670,68467,67935,68101,69301,72617,77928,86120,88089,86670,83758,79558,81987,84014,85429,86635,84736,82125,79067,76045,72710,71518,73255
2021-01-13,70389,68240,66860,66064,66177,67252,70123,75242,82971,84235,82359,78997,73793,75361,76029,77230,79665,78546,76696,74163,71883,69255,68252,69914
2021-01-14,66746,64775,63565,63330,63888,65322,68523,73841,80757,80501,78686,75711,70958,72641,73520,74674,77159,77206,76347,74083,71710,68953,67891,69110
2021-01-15,66149,63620,62130,61644,62022,63299,66269,71082,78032,78869,78279,76936,73618,76161,76666,76674,77067,75314,73908,71808,70103,67927,67006,69025
2021-01-16,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841
2021-01-17,65365,62845,61468,60746,60880,61500,62097,62496,62143,59174,57975,56686,55375,55640,56808,59470,63246,66585,68310,67743,66517,65138,65321,65885
2021-01-18,63481,61426,60036,59848,60284,62258,66160,72762,82242,85910,86673,85407,81010,82626,83540,83140,84210,83005,81557,78688,75837,72489,71399,73003
2021-01-19,70296,68321,67166,66696,67239,68622,71942,77321,84965,85348,83864,81109,76402,78006,78856,80275,83221,83393,82105,79413,76608,73081,71708,73434
2021-01-20,70412,68255,66976,66517,66818,68071,71340,76650,83468,83109,81176,78031,72981,74564,75115,76249,78833,78552,77684,75598,73356,70473,69246,70789
2021-01-21,67488,65112,63800,63265,63646,65013,68033,72967,79980,79815,78985,78637,75947,79046,80096,79945,80435,78514,76783,74042,71490,68713,67515,68956
2021-01-22,65738,63156,61788,61230,61695,63070,65879,70398,77484,79367,79026,77749,74568,76940,77628,77201,77339,75177,73222,70819,68922,66134,65328,67155
2021-01-23,63772,61232,59775,59183,59395,60245,61336,62496,64935,65119,65370,64683,62771,63546,63708,63712,63760,63720,64352,63434,62342,60896,60952,62533
2021-01-24,59645,57194,55840,55339,55734,56512,57185,57361,57004,54528,53957,52535,51810,52498,52331,53892,57034,59989,62157,61913,61057,60083,60259,60776
2021-01-25,57931,55620,54655,54553,55335,57527,61556,67487,75047,74827,73319,70572,66809,68251,68274,69101,71796,72051,72147,70447,68668,66403,65251,66605
2021-01-26,63269,60853,59678,59224,59687,61221,64409,68914,76518,78892,79190,78616,75662,77282,77661,77476,77820,75725,74593,72333,70176,67293,66103,67662
2021-01-27,64295,62087,61047,60744,61417,63002,66366,71362,77213,76086,73562,70505,66163,68380,70410,72666,74825,74465,74186,72550,71004,68628,67451,68809
2021-01-28,65455,63150,61882,61433,62120,63827,66844,71727,77571,77553,77723,78198,76435,78162,78259,78863,80655,80279,79639,77501,75061,71958,70951,72623
2021-01-29,69780,67571,66579,66021,66442,67779,71045,76274,83375,83971,82411,79294,74777,76298,77004,77943,80841,80764,79565,77089,74748,71618,70525,72421
2021-01-30,69215,66916,65273,64328,64190,64596,65730,67051,68962,68293,68485,67032,63873,63375,62700,62412,63702,65032,66689,66367,65222,63758,63807,65812
2021-01-31,63063,60686,59311,58658,58753,59316,60052,60226,59470,56512,56160,54799,53442,53654,54675,56264,58664,61311,63574,63246,62475,61139,61139,61412
2021-02-01,58524,56248,55253,55057,55706,57378,61185,66789,75385,77878,77725,76770,73442,75317,75910,76213,76934,75345,74503,72390,70181,67545,66602,68341
2021-02-02,65398,63177,62387,62188,63011,64922,68534,74087,80454,79397,77763,75338,71043,73617,75097,76754,80076,80457,80267,77971,75279,72091,70533,72173
2021-02-03,68968,66924,65714,65306,65740,67253,70596,75938,82594,81774,79189,75953,71348,73246,74543,76211,79330,78526,77673,75730,73663,70609,69184,70774
2021-02-04,67451,65300,64010,63712,64398,66053,69180,74269,80547,80804,79491,76612,71707,73261,74066,75051,77695,78155,78405,76426,74114,70910,69608,71251
2021-02-05,68216,65756,64409,63971,64415,66037,69276,74179,80617,80698,79390,77084,72747,75086,75721,75846,77153,75645,74947,73061,71066,68248,67078,68848
2021-02-06,65727,63406,61914,61347,61382,62053,63132,64437,66340,65588,65570,64197,61002,61068,60734,61080,62464,63241,64778,64357,63543,61999,61850,63319
2021-02-07,60243,57738,56259,55858,56199,56940,57861,58175,58234,56832,56521,54663,52647,52538,52986,54708,57776,60849,63692,63698,63191,62180,62370,62459
2021-02-08,59736,57677,56634,56603,57523,59889,63931,70277,77225,76706,75453,72869,68814,70947,72177,73804,76973,77850,77950,75869,73494,70473,68796,70209
2021-02-09,67085,64782,63449,63153,63819,65321,68668,73701,79114,77595,75749,72623,68305,69668,70376,71438,74391,75059,75300,73646,71901,69341,67869,69387
2021-02-10,65947,63684,62488,62060,62517,63908,66808,71257,76269,75338,73473,70300,66403,67396,67081,66521,66982,66143,67017,66317,65511,63838,62962,64223
2021-02-11,61009,58357,56446,55543,55377,55750,56070,55634,54229,52072,51246,49951,49188,49002,49931,51269,53055,54836,56799,56936,56542,55733,56226,56776
